model,split,label,accuracy,sensitivity,specificity,f1,auc,auprc,tp,fp,tn,fn
decision_tree,train_inner,label_lipid_disorder,99.98,99.92,100.0,99.96,100.0,100.0,2384,0,6140,2
decision_tree,train_inner,label_diabetes_current,100.0,100.0,100.0,100.0,100.0,100.0,2932,0,5594,0
decision_tree,train_inner,label_hypertension_current,100.0,100.0,100.0,100.0,100.0,100.0,4779,0,3747,0
decision_tree,train_inner,label_obesity_current,100.0,100.0,100.0,100.0,100.0,100.0,483,0,8043,0
decision_tree,train_inner,label_cardio_next,99.96,100.0,99.93,99.97,100.0,100.0,4409,3,4114,0
decision_tree,train_inner,label_kidney_next,99.98,99.95,100.0,99.97,100.0,100.0,3688,0,4836,2
decision_tree,train_inner,label_stroke_next,100.0,100.0,100.0,100.0,100.0,100.0,501,0,8025,0
decision_tree,train_inner,macro_avg,99.99,99.98,99.99,99.99,100.0,100.0,19176,3,40499,4
decision_tree,val_inner,label_lipid_disorder,68.77,47.03,77.21,45.73,61.95,35.78,198,247,837,223
decision_tree,val_inner,label_diabetes_current,77.94,72.25,81.1,70.04,76.67,59.0,388,183,785,149
decision_tree,val_inner,label_hypertension_current,68.5,72.19,63.79,72.02,67.99,67.48,610,239,421,235
decision_tree,val_inner,label_obesity_current,89.24,28.87,93.39,25.69,61.13,11.26,28,93,1315,69
decision_tree,val_inner,label_cardio_next,71.23,70.57,71.91,71.27,71.42,65.94,537,209,535,224
decision_tree,val_inner,label_kidney_next,64.78,60.82,68.09,61.09,64.24,55.15,416,262,559,268
decision_tree,val_inner,label_stroke_next,87.57,17.5,91.51,13.02,54.5,6.2,14,121,1304,66
decision_tree,val_inner,macro_avg,75.43,52.75,78.14,51.27,65.41,42.97,2191,1354,5756,1234
decision_tree,test,label_lipid_disorder,69.65,46.8,77.31,43.64,61.86,32.57,285,412,1404,324
decision_tree,test,label_diabetes_current,77.28,69.87,80.79,66.42,75.33,53.92,545,316,1329,235
decision_tree,test,label_hypertension_current,66.52,69.11,63.4,69.27,66.25,64.84,915,403,698,409
decision_tree,test,label_obesity_current,89.57,29.6,92.83,22.63,61.21,9.05,37,165,2135,88
decision_tree,test,label_cardio_next,68.04,71.65,64.32,69.48,68.83,63.77,882,426,768,349
decision_tree,test,label_kidney_next,64.04,59.29,67.47,58.04,63.0,50.78,603,458,950,414
decision_tree,test,label_stroke_next,85.9,15.71,90.2,11.4,52.96,6.27,22,224,2061,118
decision_tree,test,macro_avg,74.43,51.72,76.62,48.7,64.21,40.17,3289,2404,9345,1937
